"vernacularName";"scientificName";"individualCount";"longitudeDecimal";"latitudeDecimal";"eventDate";"year"
"Mandarin Duck";"Aix galericulata";1;21.0356;52.2138;2015-03-11;2015
"Common Crane";"Grus grus";10;22.7926540366;53.1208293805;2015-03-10;2015
"Elk";"Alces alces";1;22.7942562099;53.1181705482;2015-03-10;2015
"Interrupted Clubmoss";"Spinulum annotinum";50;22.93;53.01;2015-03-10;2015
"Common Merganser";"Mergus merganser";2;21.0293;52.2147;2015-03-10;2015
"Eurasian Red Squirrel";"Sciurus vulgaris";4;21.0303;52.2147;2015-03-10;2015
"Hooded Crow";"Corvus cornix";2;21.0106;52.2504;2015-03-09;2015
"Small Tortoiseshell";"Aglais urticae";1;22.9287385932;53.0098379063;2015-03-10;2015
"";"Sarcoscypha coccinea sl, incl. austriaca";1;22.9286026954;53.0151221091;2015-03-08;2015
"Hooded Crow";"Corvus cornix";1;16.9567;52.4075;2015-03-08;2015
"Lilypad Whiteface";"Leucorrhinia caudalis";1;22.8;54.2;2014-07-14;2014
"Ruddy Darter";"Sympetrum sanguineum";1;22.8098206222;54.2252522757;2014-07-14;2014
"Black-tailed Skimmer";"Orthetrum cancellatum";1;22.8098206222;54.2252522757;2014-07-14;2014
"Dark Green Fritillary";"Speyeria aglaja";1;22.8098206222;54.2252522757;2014-07-14;2014
"Small Skipper";"Thymelicus sylvestris";1;22.8105930984;54.2240480189;2014-07-14;2014
"Scarce Copper";"Lycaena virgaureae";1;22.8;54.2;2014-07-14;2014
"Chestnut Heath";"Coenonympha glycerion";2;22.8;54.2;2014-07-14;2014
"Pearly Heath";"Coenonympha arcania";1;22.8;54.2;2014-07-14;2014
"High Brown Fritillary";"Fabriciana adippe";1;22.8105930984;54.2240480189;2014-07-14;2014
"Black-tailed Skimmer";"Orthetrum cancellatum";1;22.8105930984;54.2240480189;2014-07-14;2014
"Ringlet";"Aphantopus hyperantus";1;22.8113333881;54.222843727;2014-07-14;2014
"Mute Swan";"Cygnus olor";10;22.8106789291;54.2227935474;2014-07-14;2014
